Player,Team,Age,Height (cm),Weight (kg),Stick
Andrew Copp,NY Rangers,27,185,93,left
Nick Cousins,Nashville,28,179,84,left
Logan Couture,San Jose,33,185,93,left
Sean Couturier,Philadelphia,29,191,96,left
Charlie Coyle,Boston,30,190,97,right
Dylan Cozens,Buffalo,21,191,85,right
Sidney Crosby,Pittsburgh,34,180,91,left
Lawson Crouse,Arizona,24,193,100,left
Kirby Dach,Chicago,21,193,90,right
Jevgeni Dadonov,Montreal,33,179,82,left
Jonathan Dahlén,San Jose,24,181,80,left
Rasmus Dahlin,Buffalo,22,190,93,left
Phillip Danault,Los Angeles,29,184,91,left
Justin Danforth,Columbus,29,175,84,right
Laurent Dauphin,Montreal,27,183,84,left
Nico Daws,New Jersey,21,193,92,left
Calvin de Haan,Chicago,30,185,90,left
Tony DeAngelo,Carolina,26,180,83,right
Alex DeBrincat,Chicago,24,170,75,right
Jake DeBrusk,Boston,25,183,88,left
Danny DeKeyser,Detroit,32,191,83,left
Michael Del Zotto,Ottawa,31,183,88,left
Collin Delia,Chicago,27,188,94,left
Dylan DeMelo,Winnipeg,29,184,88,right
Thatcher Demko,Vancouver,26,193,87,left
Travis Dermott,Vancouver,25,182,93,left
Nicolas Deslauriers,Minnesota,31,184,100,left
Casey DeSmith,Pittsburgh,30,183,82,left
Connor Dewar,Minnesota,22,178,83,left
Jason Dickinson,Vancouver,26,187,93,left
Brenden Dillon,Winnipeg,31,193,102,left
Cam Dineen,Arizona,23,180,84,left
Noah Dobson,NY Islanders,22,193,88,right
Max Domi,Carolina,27,177,87,left
Ryan Donato,Seattle,26,183,86,left
Joonas Donskoi,Seattle,30,183,86,right
Drew Doughty,Los Angeles,32,184,91,right
Nic Dowd,Washington,31,186,89,right
Leon Draisaitl,Edmonton,26,189,94,left
Chris Driedger,Seattle,27,193,93,left
Jonathan Drouin,Montreal,27,183,89,left
Jamie Drysdale,Anaheim,20,180,83,right
Dillon Dubé,Calgary,23,179,85,left
Pierre-Luc Dubois,Winnipeg,23,189,94,left
Matt Duchene,Nashville,31,180,90,left
Anthony Duclair,Florida,26,180,89,left
Brandon Duhaime,Minnesota,24,183,84,left
Matt Dumba,Minnesota,27,183,83,right
Brian Dumoulin,Pittsburgh,30,193,94,left
Vince Dunn,Seattle,25,183,92,left
Sean Durzi,Los Angeles,23,183,84,right
Christian Dvorak,Montreal,26,184,87,left
