Player,Team,Age,Height (cm),Weight (kg),Stick
Brad Richardson,Vancouver,37,183,87,left
Morgan Rielly,Toronto,28,184,99,left
Rasmus Ristolainen,Philadelphia,27,192,100,right
Nick Ritchie,Arizona,26,191,107,left
Brett Ritchie,Calgary,28,193,100,right
David Rittich,Nashville,29,191,92,left
Jason Robertson,Dallas,22,190,90,left
Eric Robinson,Columbus,26,188,91,left
Evan Rodrigues,Pittsburgh,28,180,83,right
Aleksandr Romanov,Montreal,22,184,94,left
Kevin Rooney,NY Rangers,28,188,92,left
Jack Roslovic,Columbus,25,185,85,right
Antoine Roussel,Arizona,32,180,91,left
Carter Rowney,Detroit,32,188,94,right
Matt Roy,Los Angeles,27,185,90,right
Nicolas Roy,Vegas,25,193,94,right
Chad Ruhwedel,Pittsburgh,31,180,87,right
Kris Russell,Edmonton,35,178,78,left
Bryan Rust,Pittsburgh,29,180,87,right
Jan Rutta,Tampa Bay,31,190,91,right
Adam Ružička,Calgary,22,194,95,left
Derek Ryan,Edmonton,35,179,84,right
Brandon Saad,St. Louis,29,185,98,left
Dylan Samberg,Winnipeg,23,193,98,left
Ilja Samsonov,Washington,25,191,93,left
Mattias Samuelsson,Buffalo,22,193,103,left
Jake Sanderson,Ottawa,19,188,86,left
Rasmus Sandin,Toronto,22,181,81,left
Zach Sanford,Winnipeg,27,192,94,left
Travis Sanheim,Philadelphia,26,192,83,left
Jegor Šarangovitš,New Jersey,23,188,88,left
Juuse Saros,Nashville,27,179,82,left
David Savard,Montreal,31,188,103,right
Marco Scandella,St. Louis,32,190,95,left
Mark Scheifele,Winnipeg,29,190,94,right
Brayden Schenn,St. Louis,30,184,91,left
Luke Schenn,Vancouver,32,188,102,right
Nick Schmaltz,Arizona,26,183,80,right
Nate Schmidt,Winnipeg,30,183,88,left
Braden Schneider,NY Rangers,20,188,92,right
Justin Schultz,Washington,31,188,87,right
Jaden Schwartz,Seattle,29,179,86,left
Nick Seeler,Philadelphia,28,188,91,left
Tyler Seguin,Dallas,30,185,91,right
Moritz Seider,Detroit,21,192,89,right
Andrej Sekera,Dallas,35,183,91,left
Mihail Sergatšov,Tampa Bay,23,189,99,left
Igor Šestjorkin,NY Rangers,26,186,84,left
Damon Severson,New Jersey,27,188,94,right
Kevin Shattenkirk,Anaheim,33,183,96,right
Riley Sheahan,Seattle,30,190,96,left
Conor Sheary,Washington,29,173,79,left
Devin Shore,Edmonton,27,184,93,left
Jonas Siegenthaler,New Jersey,24,190,100,left
Jakob Silfverberg,Anaheim,31,186,92,right
Cole Sillinger,Columbus,18,187,92,left
Radim Šimek,San Jose,29,180,91,left
Wayne Simmonds,Toronto,33,191,84,right
Dominik Simon,Anaheim,27,180,86,left
Colton Sissons,Nashville,28,185,92,right
Jeff Skinner,Buffalo,29,180,88,left
Brady Skjei,Carolina,28,191,95,left
Jaccob Slavin,Carolina,28,191,94,left
Mike Smith,Edmonton,40,195,98,left
Craig Smith,Boston,32,183,94,right
Reilly Smith,Vegas,31,185,81,left
Ty Smith,New Jersey,22,180,80,left
Nathan Smith,Arizona,23,185,86,right
Brendan Smith,Carolina,33,188,91,left
Givani Smith,Detroit,24,188,98,left
Ilja Sorokin,NY Islanders,26,188,86,left
Carson Soucy,Seattle,27,195,94,left
Daniel Sprong,Seattle,25,183,88,right
Jared Spurgeon,Minnesota,32,174,76,right
Jordan Staal,Carolina,33,193,100,left
Marc Staal,Detroit,35,193,96,left
Steven Stamkos,Tampa Bay,32,185,89,right
Logan Stanley,Winnipeg,23,198,105,left
Paul Stastny,Winnipeg,36,183,88,left
Troy Stecher,Los Angeles,28,178,84,right
Sam Steel,Anaheim,24,180,84,left
Derek Stepan,Carolina,31,181,89,right
Mitchell Stephens,Detroit,25,180,88,right
Chandler Stephenson,Vegas,28,182,90,left
Riley Stillman,Chicago,24,185,89,left
Anthony Stolarz,Anaheim,28,198,110,left
Michael Stone,Calgary,31,190,95,right
Mark Stone,Vegas,29,192,91,right
Dylan Strome,Chicago,25,190,91,left
Ryan Strome,NY Rangers,28,185,88,right
Anton Strålman,Arizona,35,180,87,right
Marián Studenič,Dallas,23,184,82,left
Nico Sturm,Colorado,26,191,97,left
Tim Stützle,Ottawa,20,184,87,left
P.K. Subban,New Jersey,32,183,95,right
Oskar Sundqvist,Detroit,28,190,95,right
Andrej Šustr,Anaheim,31,201,98,right
Pius Suter,Detroit,25,181,79,left
Ryan Suter,Dallas,37,186,92,left
Brandon Sutter,Vancouver,33,191,87,right
Nick Suzuki,Montreal,22,180,91,right
Jevgeni Svetšnikov,Winnipeg,25,191,94,left
Andrei Svetšnikov,Carolina,22,189,91,left
Jeremy Swayman,Boston,23,191,88,left
Harri Säteri,Arizona,32,186,89,left
Cam Talbot,Minnesota,34,193,89,left
Brandon Tanev,Seattle,30,183,82,left
Christopher Tanev,Calgary,32,188,88,right
Vladimir Tarasenko,St. Louis,30,184,102,left
Tomáš Tatar,New Jersey,31,178,83,left
John Tavares,Toronto,31,184,94,left
Troy Terry,Anaheim,24,185,84,right
Teuvo Teräväinen,Carolina,27,179,87,left
Alexandre Texier,Columbus,22,184,84,left
Shea Theodore,Vegas,26,188,88,left
Robert Thomas,St. Louis,22,183,99,right
Tage Thompson,Buffalo,24,200,98,right
Nate Thompson,Philadelphia,37,185,97,left
Joe Thornton,Florida,42,193,100,left
Chris Tierney,Ottawa,27,185,86,left
Conor Timmins,Arizona,23,186,92,right
Owen Tippett,Philadelphia,23,185,94,right
Matthew Tkachuk,Calgary,24,188,92,left
Brady Tkachuk,Ottawa,22,193,96,left
Jonathan Toews,Chicago,34,188,92,left
Devon Toews,Colorado,28,185,87,left
Tyler Toffoli,Calgary,30,183,89,right
Dustin Tokarski,Buffalo,32,183,90,left
Eeli Tolvanen,Nashville,23,178,87,left
Philip Tomasino,Nashville,20,183,82,right
Dominic Toninato,Winnipeg,28,188,87,left
Aleksei Toroptšenko,St. Louis,22,191,85,left
Jakov Trenin,Nashville,25,188,91,left
Vincent Trocheck,Carolina,28,178,84,right
Jacob Trouba,NY Rangers,28,191,95,right
Jegor Tšinahov,Columbus,21,182,81,left
Alex Tuch,Buffalo,25,193,100,right
Kyle Turris,Edmonton,32,185,86,right
Linus Ullmark,Boston,28,193,97,left
Urho Vaakanainen,Anaheim,23,185,84,left
James van Riemsdyk,Philadelphia,32,191,97,left
Trevor van Riemsdyk,Washington,30,188,87,right
Vitek Vaněček,Washington,26,185,85,left
Semjon Varlamov,NY Islanders,34,188,97,left
Andrei Vasilevski,Tampa Bay,27,193,98,left
Frank Vatrano,NY Rangers,28,180,89,left
Karel Vejmelka,Arizona,25,191,92,right
Joe Veleno,Detroit,22,185,93,left
Carter Verhaeghe,Florida,26,188,82,left
Jimmy Vesey,New Jersey,28,190,90,left
Jeffrey Viel,San Jose,25,188,93,left
Gabriel Vilardi,Los Angeles,22,191,91,right
Daniel Vladař,Calgary,24,196,84,left
Alex Vlasic,Chicago,20,198,91,left
Marc-Édouard Vlasic,San Jose,35,185,93,left
Jakub Voráček,Columbus,32,189,96,left
Jakub Vrána,Detroit,26,183,89,left
Oliver Wahlstrom,NY Islanders,21,188,96,right
Sean Walker,Los Angeles,27,180,89,right
Nathan Walker,St. Louis,28,175,84,left
Jake Walman,Detroit,26,185,97,left
Austin Watson,Ottawa,30,193,93,right
Jasper Weatherby,San Jose,24,193,98,left
Scott Wedgewood,Dallas,29,183,88,left
MacKenzie Weegar,Florida,28,183,91,right
Alexander Wennberg,Seattle,27,185,89,left
Zach Werenski,Columbus,24,188,96,left
Blake Wheeler,Winnipeg,35,196,102,right
Colin White,Ottawa,25,183,86,right
Colton White,New Jersey,24,185,84,left
Zach Whitecloud,Vegas,25,188,95,right
Chris Wideman,Montreal,32,178,82,right
Tom Wilson,Washington,28,193,98,right
Miles Wood,New Jersey,26,187,88,left
Kailer Yamamoto,Edmonton,23,173,69,right
Keith Yandle,Philadelphia,35,186,88,left
Cam York,Philadelphia,21,180,78,left
Pavel Zacha,New Jersey,25,191,96,left
Filip Zadina,Detroit,22,183,89,left
Nikita Zadorov,Calgary,27,197,107,left
Nikita Zaitsev,Ottawa,30,188,87,right
Jakub Zbořil,Boston,25,184,87,left
Trevor Zegras,Anaheim,21,183,84,left
Mika Zibanejad,NY Rangers,29,188,94,right
Artjom Zub,Ottawa,26,188,90,right
Mats Zuccarello,Minnesota,34,171,80,left
Jason Zucker,Pittsburgh,30,180,87,left
